doc_id,name,category,amount,discount,price,date,shop_id,till_id
hmfvksai9rl1v12aw0xd,"Шпагат полипропил 1000ТЭКС 1,6мм*100м  /60/",ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,2,11,50.93,2025-03-23,5,1
jcoqpr58hur9gtiszxq1,Коврик для в/к BOMBINI CLASSIC 2предм 50*80 св роз,ТОВАРЫ ДЛЯ ВАННОЙ КОМНАТЫ,6,6,782.02,2025-03-23,5,1
jcoqpr58hur9gtiszxq1,Штора д/ванной п/э180х180см 12 кол атлас брилл зел,ТОВАРЫ ДЛЯ ВАННОЙ КОМНАТЫ,2,5,346.9,2025-03-23,5,1
jcoqpr58hur9gtiszxq1,Термокружка Знаки Зодиака  /20/5/С543,ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,7,3,77.2,2025-03-23,5,1
jcoqpr58hur9gtiszxq1,Овощечистка рогатка стандартная ЛИБРАПЛАСТ/10/200,"НОЖИ, НОЖЕТОЧКИ, ОВОЩЕРЕЗКИ, ТЕРКИ",4,0,55.2,2025-03-23,5,1
jcoqpr58hur9gtiszxq1,Сушилка для столовых приборов  /20/С56,ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,1,7,116.0,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,Термос металл LaDina нерж 1000мл /12/,ТОВАРЫ ДЛЯ ОТДЫХА,2,14,1012.5,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,"Елка 1,2м с кольцами, из мишуры с украшен КРАСНАЯ",НОВЫЙ ГОД,6,6,441.58,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,Полотенца вискозные в рулоне 25*25см 30шт ГОРНИЦА/12/,ТОВАРЫ ДЛЯ УБОРКИ,4,13,167.22,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,Карандаш Строительный 180мм  ЦЕНА за 12шт,ИНСТРУМЕНТЫ,5,13,86.92,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,Шлиф-шкурка ТКАНЕВАЯ водостойкая 25шт 230*280 №24,ИНСТРУМЕНТЫ,6,3,592.7,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,Ящик СКЛАДНОЙ зел/черн 38 л ШЕФ ПОЛИМЕР/10/,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,3,1,262.62,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,Изолента ПВХ 15х10 ЧЕРНАЯ Klebebander цена за8шт/25,ИНСТРУМЕНТЫ,7,12,140.63,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,Чек лента термо 57мм*19м  КРАТНО 16/256/,КАНЦЕЛЯРСКИЕ ТОВАРЫ,1,6,31.1,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,"Горшок Колывань 0,45л Д11см мрам с под. /45/С91М",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,1,9,42.8,2025-03-23,5,1
hb52vw2a2pgal7wotnqb,"Горшок Эдельвейс с под.5,3л Д 24см мрамор /10/С193М",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,2,16,163.5,2025-03-23,5,1
fn5mc2458zng90w7ockg,КОРАДОусил1мл+2Панэм от кол жукаКРАСНЫЙпакетВХ/160,"СРЕДСТВА ОТ НАСЕКОМЫХ, СОРНЯКОВ, ХИМИЯ ДЛЯ САДА",7,7,16.5,2025-03-23,5,1
fn5mc2458zng90w7ockg,Крышка п/эт для банок колор набор 12шт /25/,ТОВАРЫ ДЛЯ КОНСЕРВИРОВАНИЯ,2,5,91.7,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,Землин 100гр Техноэкспорт 01-205/50/,"СРЕДСТВА ОТ НАСЕКОМЫХ, СОРНЯКОВ, ХИМИЯ ДЛЯ САДА",7,14,64.6,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,ЭЛ лампа TDM ДРВ Е40 250W  SG0325-0020/20/,ЭЛЕКТРОЛАМПЫ,4,15,475.6,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,"Щетка МП д/улицы ""Гардена"" /18/",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,1,3,190.9,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,"Клеенка PRIMA DIVA ПВХ на тканой основе  1,37м*20м светлые разводы",КЛЕЁНКИ И СКАТЕРТИ,1,8,4126.9,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,Ценник ролик 29*28мм (500эт)зел цена за 10шт /16/,КАНЦЕЛЯРСКИЕ ТОВАРЫ,2,10,543.8,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,"Круг отрезной по метал 125х2,5х22мм ЛУГА/А30//25/200/",ИНСТРУМЕНТЫ,6,6,38.0,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,Колодка ПРОГРЕСС б/з2вхбелая/20/200/,ЭЛЕКТРОТОВАРЫ,6,6,93.7,2025-03-23,5,1
e91tpm5erpxqklwrz3m1,"Контейнер круглый низкий многофункцион.№1 0,3л/36/С254",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,3,1,44.2,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,ЭЛ лампа TDM ДРВ Е40 250W  SG0325-0020/20/,ЭЛЕКТРОЛАМПЫ,7,4,475.6,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,Эл.питания CR2016 Camelion .3V блист 5шт/10/,БАТАРЕЙКИ,3,14,183.9,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,Командор 1мл от колоратского жука /350/,"СРЕДСТВА ОТ НАСЕКОМЫХ, СОРНЯКОВ, ХИМИЯ ДЛЯ САДА",5,8,15.03,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,Мешки для мусора ПВД  60лх30шт 23мкЗелёная упаковка/5/,"УПАКОВОЧНЫЕ МАТЕРИАЛЫ,ПАКЕТЫ,МЕШКИ ДЛЯ МУСОРА",3,5,90.1,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,Терка 4-х гранная с круглой  пласт.ручк Кварц/42/,"НОЖИ, НОЖЕТОЧКИ, ОВОЩЕРЕЗКИ, ТЕРКИ",4,4,141.3,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,Круг лепестковый КЛТ 125х22мм ЛУГА А60/10/80/,ИНСТРУМЕНТЫ,7,0,77.2,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,"ТЕСТОРЕЗКА D-6,0см SТ-20500/240/","НОЖИ, НОЖЕТОЧКИ, ОВОЩЕРЕЗКИ, ТЕРКИ",3,10,66.64,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,"Пленка самоклеющаяся D&В 0,45*8м дерев дуб песочно беж/20/",ТОВАРЫ ДЛЯ ДОМА,5,0,315.6,2025-03-23,5,1
3eunpbfkl28tzmp1r92n,"Ковш алюмин с покрытием Гранит 18см 1,75см /6/",ПОСУДА,2,1,1271.0,2025-03-23,5,1
ied9rnpsn2ccsunx0x4c,"Клеенка DЕКОRАМА ТУРЦИЯ 1,4*20м Кофейн чашки на св",КЛЕЁНКИ И СКАТЕРТИ,7,9,4465.6,2025-03-23,5,1
ied9rnpsn2ccsunx0x4c,Пакеты с защелкой 2 литра в наборе 10шт,"УПАКОВОЧНЫЕ МАТЕРИАЛЫ,ПАКЕТЫ,МЕШКИ ДЛЯ МУСОРА",4,4,100.72,2025-03-23,5,1
ied9rnpsn2ccsunx0x4c,"Контейнер круглый высок.многофункцион.№2 0,95л/20/С260",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,2,1,67.9,2025-03-23,5,1
cy669lgyf6wmty9135ai,"Шнур д/бра с диммером ПРОГРЕСС (черный) 1,7м 2*0,5мм2",ЭЛЕКТРОТОВАРЫ,2,2,141.45,2025-03-23,5,1
cy669lgyf6wmty9135ai,Клей для термопистолета d 7мм*270мм /1кг /25/,ИНСТРУМЕНТЫ,5,12,490.4,2025-03-23,5,1
cy669lgyf6wmty9135ai,"Клеенка DЕКОRАМА ТУРЦИЯ 1,4*20м Орнамент на сером 262Е",КЛЕЁНКИ И СКАТЕРТИ,5,14,4465.6,2025-03-23,5,1
cy669lgyf6wmty9135ai,Набор для рассады 24 торф.табл d 41мм/18/,САД И ОГОРОД,7,14,133.4,2025-03-23,5,1
cy669lgyf6wmty9135ai,БОРНАЯ КИСЛОТА 10гр  ВХ/400/,"СРЕДСТВА ОТ НАСЕКОМЫХ, СОРНЯКОВ, ХИМИЯ ДЛЯ САДА",3,12,12.1,2025-03-23,5,1
cy669lgyf6wmty9135ai,Ручка для лопаты черная d-32мм,ЗИМНИЙ ИНВЕНТАРЬ,1,4,31.6,2025-03-23,5,1
cy669lgyf6wmty9135ai,"Стяжка для груза 1,3м 8мм СТ20074 КРАТНО 20 шт/300/",ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,5,11,42.08,2025-03-23,5,1
cy669lgyf6wmty9135ai,Клеевая ловушка-пластина КОТОФЕЙ 10шт/18/,СРЕДСТВА ОТ ГРЫЗУНОВ,2,12,229.8,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,Колодка  ПРОГРЕСС  с/з  4вх  белая  (10*100),ЭЛЕКТРОТОВАРЫ,4,10,155.3,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,"Тарелка для вторых блюд ""Чезаре"" /86/С155",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,1,12,49.5,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,Пакет ПНД 24х37   100шт. Экстра 8мкр /100/,"УПАКОВОЧНЫЕ МАТЕРИАЛЫ,ПАКЕТЫ,МЕШКИ ДЛЯ МУСОРА",7,3,35.8,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,Доска гибкая ГРАЦИЯ 210*290 пыльно-серая/20/С845ПСЕР,ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,7,11,95.1,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,Сито металл с ручкой d 8см нерж сталь/10/360/,КУХОННЫЕ ПРИНАДЛЕЖНОСТИ,1,9,54.0,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,Коврик для раскатки теста силиконовый 30*40см,КУХОННЫЕ ПРИНАДЛЕЖНОСТИ,2,15,120.2,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,"Кастрюля ГАММА 2,5л 18*11,5см",ПОСУДА,6,10,1287.6,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,Панель самокл DecoSelf 3DМрамор серый 30*60см цена за 10шт,ТОВАРЫ ДЛЯ ДОМА,2,14,1060.6,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,Мешочек д/стирки деликатного белья 14*14 /100/,ТОВАРЫ ДЛЯ ДОМА,7,9,63.84,2025-03-23,5,1
d7jx95ehz2ae6lc9hj01,"Канистра 25,0л БОЧОНОК/4/",ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,6,10,484.9,2025-03-23,5,1
09bottd8g1j965dam3lr,Кислота паяльная30мл(пластик)только по 10шт/10/360/,ИНСТРУМЕНТЫ,1,16,27.2,2025-03-23,5,1
09bottd8g1j965dam3lr,Ножовка по дереву 2х стор зат зак зуб 5мм 500мм/6,ИНСТРУМЕНТЫ,1,4,355.1,2025-03-23,5,1
09bottd8g1j965dam3lr,"Горшок""Розетта"" 4,9л Д245 с поддоном мрамор/10/С128МРА",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,4,12,179.7,2025-03-23,5,1
09bottd8g1j965dam3lr,"Салатник ""Смарт"" 3л пыльно-серый /20/С422ПСЕР",ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ,7,3,107.5,2025-03-23,5,1
09bottd8g1j965dam3lr,"Совок посадочный УЗКИЙ 30,5*8см пластик ручка",САД И ОГОРОД,4,5,82.9,2025-03-23,5,1
